video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=GoLerKmXQhU&list=RDGoLerKmXQhU&start_radio=1&pp=ygUIbmV3IHlvcmugBwE%3D,/@VibersVibin,VibersVibin,Alicia Keys - New York Empire State of Mind (Lyrics),5M,4 years,Thanks for all the new subs & Likes Vibers.Enjoy your week Stay kind stay fresh stay Awesome  ❤️ Subscribe if you enjoy ...,2026-01-14 21:54:56.944261
/watch?v=ZFuvytV-cuA&pp=ygUIbmV3IHlvcms%3D,/@AssociatedPress,Associated Press,New Year’s countdown 2026: LIVE New York ball drop in Times Square,5.5M,Streamed 13 days,Watch live as the New Year's countdown begins in New York to ring in 2026. Our livestreams are a view into some of the biggest ...,2026-01-14 21:54:56.947685
/watch?v=vk6014HuxcE&list=RDvk6014HuxcE&start_radio=1&pp=ygUIbmV3IHlvcmugBwE%3D,/channel/UCN-sc1xJr-QQNj_uNIM9wTA,JAY-Z,JAY-Z - Empire State Of Mind ft. Alicia Keys,435M,4 years,"Official music video for ""Empire State Of Mind"" performed by JAY-Z featuring Alicia Keys. Listen to JAY-Z: https://JAY-Z.LNK.",2026-01-14 21:54:56.952928
/watch?v=-2o45BFOddQ&pp=ygUIbmV3IHlvcms%3D,/channel/UCfhqk1LwYmPBH8ALa3nqAdg,Peaceful Relaxation 4K,"New York 4K Video UHD - Relaxing Piano Music, Beautiful Nature Scenic | Stress Relief,Anxiety Relief",927K,Streamed 2 years,"New York, often called New York City or NYC, is the most populous city in the United States. With a 2020 population of 8804190 ...",2026-01-14 21:54:56.955294
/shorts/KaRI932cQa4,/@tootripsy,TooTripsy,Welcome to New York City 🌆,2.5M,1 year,manhattan #timesquare #newyork #agameoftones #nycity #cityofdreams #timessquarenyc #newyorkcity #nycitylife #urbanjungle ...,2026-01-14 21:54:56.957046
/watch?v=TT2R5B9F3EQ&pp=ygUIbmV3IHlvcmvSBwkJTQoBhyohjO8%3D,/@HereBeBarr,Jon Barr,How To See NYC in 3 Days (Without The Stress!),702K,1 year,"Steal this 3-Day Itinerary of the Best Things to do in New York City! Where we plan out attractions, meals, and more to take away ...",2026-01-14 21:54:56.959170
/watch?v=_XXwZROjckI&pp=ygUIbmV3IHlvcms%3D,/@PeterSantenello,Peter Santenello,New York City - What It's Like Now 🇺🇸,3.3M,4 months,New York has transformed in recent years. What's it like now? Join me across the city—from the wealthiest neighborhoods to the ...,2026-01-14 21:54:56.960894
/watch?v=flqL0IZOZvY&pp=ygUIbmV3IHlvcms%3D,/@EatSeeTV,Eat See TV,The PERFECT Trip to New York City! Best Things to Do & Eat (Travel Guide),713K,1 year,Here are the exact experiences shared in this video and more fun things to do in NYC! Our NYC Wishlist ...,2026-01-14 21:54:56.962747
/watch?v=BAChY9ExGSE&pp=ygUIbmV3IHlvcmvSBwkJTQoBhyohjO8%3D,/@UpUpOurWay,Up Up & Our Way,Things to do in New York City - Cheap & Easy Ideas 2025,114K,11 months,NYC in 4 Days?! We packed SO much into our New York City adventure and we're sharing it all! From iconic landmarks to ...,2026-01-14 21:54:56.964133
/watch?v=6WdlY2EVLKI&pp=ygUIbmV3IHlvcms%3D,/@ThroughMyLens,Through My Lens,Ultimate New York Bucket List: 50 Must-Do Activities for 2025,524K,1 year,Planning a trip to New York City in 2025? This video has you covered with 50 amazing things to do in the city that never sleeps!,2026-01-14 21:54:56.966070
