video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=xDbF9Dt25IE&list=RDxDbF9Dt25IE&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/@VibeNation-q3l,Vibe Nation,Chicago Greatest Hits Full Album - Best Songs of Chicago,527K,6 months,Chicago Greatest Hits Full Album - Best Songs of Chicago Chicago Greatest Hits Full Album - Best Songs of Chicago Chicago ...,2026-01-14 21:56:45.740023
/watch?v=xxtgebu7Tl8&list=RDxxtgebu7Tl8&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/channel/UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,Chicago - Chicago IX: Greatest Hits Expanded,214K,5 months,"You're listening to Chicago's newly expanded album 'Chicago IX: Greatest Hits Expanded', out everywhere now.",2026-01-14 21:56:45.741763
/watch?v=Y_8mUx4VOmo&list=RDY_8mUx4VOmo&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/channel/UC5OrDvL9DscpcAstz7JnQGA,Michael Jackson,Michael Jackson - Chicago (Official Audio),46M,5 years,"Chicago"" by Michael Jackson Listen to Michael Jackson: https://MichaelJackson.lnk.to/_listenYD Subscribe to the official Michael ...",2026-01-14 21:56:45.743019
/watch?v=d_l-st8Q1S0&list=RDd_l-st8Q1S0&start_radio=1&pp=ygUHY2hpY2Fnb6AHAdIHCQlNCgGHKiGM7w%3D%3D,/channel/UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,Chicago - Will You Still Love Me? (Official Music Video),21M,11 years,"Released in 1986 on the album ""Chicago 18,"" “Will You Still Love Me?” was written by David Foster, Tom Keane, and Richard ...",2026-01-14 21:56:45.744445
/watch?v=UAzUkPpuAjw&pp=ygUHY2hpY2Fnbw%3D%3D,/@camdendavid,Camden David,40 Tips I Wish I Knew Before Visiting Chicago,28K,3 months,Here's the exact list I share with friends visiting Chicago (my free guide): https://bit.ly/Chicago-Guide-Camden These 40 tips to ...,2026-01-14 21:56:45.747488
/watch?v=7uAUoz7jimg&list=RD7uAUoz7jimg&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/@ChicagoOnMV,Chicago on MV,Chicago - 25 or 6 to 4 | Live at Tanglewood (1970),38M,11 years,Chicago - 25 or 6 to 4 | Live at Tanglewood (1970) Explore the sound of Chicago with “25 or 6 to 4 – Live at Tanglewood 1970” ...,2026-01-14 21:56:45.748762
/watch?v=joSf9hLciH0&pp=ygUHY2hpY2Fnbw%3D%3D,/@ExoticVacation,Exotic Vacation,How to Spend 3 Days in CHICAGO | Travel Itinerary,334K,1 year,You're in for an amazing 3 days in Chicago! We've crafted the ultimate itinerary to help you explore the city's top attractions while ...,2026-01-14 21:56:45.751638
/watch?v=1A0MPWseJIE&list=RD1A0MPWseJIE&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/@rhino,RHINO,Chicago - Hard To Say I'm Sorry (Official Music Video),154M,4 years,"You're watching the official music video for Chicago - ""Hard To Say I'm Sorry"" from the album 'Chicago 16' (1982) Subscribe to the ...",2026-01-14 21:56:45.752959
/watch?v=CRfy1yorkec&list=RDCRfy1yorkec&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/channel/UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,Chicago - You're the Inspiration (Official Music Video),90M,16 years,"Released in 1984 on the album Chicago 17, “You're the Inspiration” became one of Chicago's biggest hits of the 1980s. Written by ...",2026-01-14 21:56:45.756429
/watch?v=tnX85oZOV40&pp=ygUHY2hpY2Fnb9IHCQlNCgGHKiGM7w%3D%3D,/@NFL,NFL,Green Bay Packers vs. Chicago Bears Game Highlights | NFL 2025 Season Wild Card,5.3M,3 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-14 21:56:45.757963
/watch?v=vzbIVaRtI-0&pp=ygUHY2hpY2Fnbw%3D%3D,/@wgntv,WGN News,Food critic Fox Peña's best pizza picks in Chicago,515,3 hours,"Fox Peña, known as ""Foxcito"" from his viral social media ""food run"" reviews visited more than 70 pizza places in the Chicago area.",2026-01-14 21:56:45.759181
/watch?v=En0KyTP63fY&pp=ygUHY2hpY2Fnbw%3D%3D,/@Relaxing.Scenes.Driving,Relaxing Scenes - Driving,Driving Chicago 8K - Dolby Vision HDR at Sunset,477K,1 year,"Enjoy this evening 2 hour drive through the heart of Downtown Chicago! In this video, we take you on a scenic journey through the ...",2026-01-14 21:56:45.761011
/watch?v=HjylD7esXDo&list=RDHjylD7esXDo&start_radio=1&pp=ygUHY2hpY2Fnb6AHAdIHCQlNCgGHKiGM7w%3D%3D,/channel/UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,Chicago - Saturday in the Park (Official Audio),5.9M,6 years,"Released in 1972 on the album ""Chicago V"", “Saturday in the Park” was written by Robert Lamm and produced by James William ...",2026-01-14 21:56:45.764341
/watch?v=-9_d-sFhmRM&list=RD-9_d-sFhmRM&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/channel/UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,Chicago - If You Leave Me Now (Official Audio),20M,7 years,"Released in 1976 on the album ""Chicago X"", “If You Leave Me Now” was written and sung by Peter Cetera and produced by ...",2026-01-14 21:56:45.765764
/watch?v=8A3HZvGN0qs&list=RD8A3HZvGN0qs&start_radio=1&pp=ygUHY2hpY2Fnb6AHAQ%3D%3D,/channel/UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,Chicago - 25 or 6 to 4 (Official Audio),11M,6 years,"Originally released in 1970 on the album ""Chicago II"", “25 or 6 to 4” was written by Robert Lamm and produced by James William ...",2026-01-14 21:56:45.767091
